"CLS","UCX","UD COPPER TRXLP CN LLDPE AEIC CS8-00    "
"CLS","MCX","MV90 CU XLPE PVC UL1072                 "
"CLS","CEM","MV105 CU EPR CTS PVC UL1072             "
"INS","I01"," 90 mils - 5kV 100%                     "
"INS","I02","115 mils - 5kV 133% & 8kV 100%          "
"INS","I03","175 mils - 15kV 100%                    "
"INS","I04","220 mils - 15kV 133%                    "
"INS","I05","260 mils - 25kV 100%                    "
"INS","I06","320 mils - 25kV 133%                    "
"INS","I07","280 mils - 28kV 100%                    "
"INS","I08","345 mils - 28kV 133% & 35kV 100%        "
"INS","I09","420 mils - 35kV 133%                    "
"INS","I10","445 mils - 46kV 100%                    "
"INS","I11","580 mils - 46kV 133%                    "
"SHL","S01","10x#14                                  "
"SHL","S04","16x#14                                  "
"SHL","S02","13x#10                                  "
"SHL","S03","16x#09                                  "
"CLS","UAX","UD ALUMINUM TRXLP CN LLDPE AEIC CS8-00  "
"CLS","UCE","UD COPPER EPR CN LLDPE AEIC CS8-00      "
"SHL","S05","06x#14                                  "
"SHL","S06","13x#14                                  "
"SHL","S07","13x#12                                  "
"SHL","S08","16x#12                                  "
"SHL","S09","16x#10                                  "
"SHL","S10","09x#14                                  "
"SHL","S11","07x#14                                  "
"SHL","S12","11x#14                                  "
"SHL","S13","14x#14                                  "
"SHL","S14","18x#14                                  "
"SHL","S15","21x#14                                  "
"SHL","S16","18x#12                                  "
"SHL","S17","19x#12                                  "
"SHL","S18","24x#12                                  "
"SHL","S19","17x#10                                  "
"SHL","S20","20x#20                                  "
"SHL","S21","21x#10                                  "
"SHL","S22","20x#09                                  "
"SHL","S23","24x#09                                  "
"SHL","S24","21x#08                                  "
"SHL","S25","22x#08                                  "
"SHL","S26","25x#08                                  "
"SHL","S27","26x#08                                  "
"SHL","S28","28x#31                                  "
"SHL","S29","36x#08                                  "
"SHL","S30","41x#08                                  "
"SHL","S31","Copper Tape Shield                      "
"SHL","S32","Copper Wire Shield                      "
"SHL","S33","20x#12                                  "
"SHL","S34","20x#14                                  "
"SHL","S35","11x#12                                  "
"SHL","S36","32x#12                                  "
"SHL","S37","12x#10                                  "
"SHL","S38","25x#10                                  "
"SHL","S39","20x#10                                  "
"SHL","S40","15x#12                                  "
"SHL","S43","27x#14                                  "
"SHL","S42","12x#14                                  "
"CLS","FAA","FAA 824 TYPE C                          "
"INS","I12","110 mils - 5kV (FAA)                    "
"SHL","S44","Unshielded                              "
"INS","I13","125 mils - 5kV                          "
"SHL","S45","Brass Tape                              "
"CLS","UAE","UD ALUMINUM EPR CN LLDPE AEIC CS8-00    "
"CLS","TR1","TRAFFIC CABLE IMSA 19-1                 "
"CLS","TR2","TRAFFIC CABLE IMSA 20-1                 "
"SHL","S46","10x#12                                  "
"INS","I14"," 25 mils - Traffic                      "
"INS","I15"," 30 mils - Traffic                      "
"SHL","S47","15x#10                                  "
"SHL","S48","32x#14                                  "
"SHL","S49","25x#14                                  "
"SHL","S50","25x#12                                  "
"CLS","MAE","MV105 ALUMINUM CONDUCTOR EPR INSULATION "
"CLS","MAX","MV90 ALUMINUM CONDUCTOR TRXLP INSULATION"
"SHL","S51","08x#10                                  "
"SHL","S52","17x#14                                  "
"SHL","S53","22x#14                                  "
"SHL","S54","24x#10                                  "
"SHL","S55","26x#12                                  "
"SHL","S56","24x#18                                  "
"SHL","S57","32x#10                                  "
"SHL","S58","09x#16                                  "
"SHL","S59","30x#10                                  "
"SHL","S60","48x#10                                  "
"INS","I16","140 mils - 8kV 133%                     "
"CLS","MCP","MV90 CU XLPE PE UL1072                  "
"CLS","MCE","MV90 CU EPR CTS PVC UL1072              "
"CLS","CEW","MV105 CU EPR CWS PVC UL1072             "
"CLS","UCV","UD COPPER TRXLP/EPR CWS/CTS PVC         "
"CLS","UCC","UD COPPER XLPE - Central America        "
"SHL","S61","18x#10                                  "
"SHL","S62","40x#10                                  "
"SHL","S63","08x#14                                  "
"SHL","S64","08x#12                                  "
"SHL","S65","05x#12AWG                               "
"CLS","UAV","UD ALUMINUM TRXLP CTS PVC/PE            "
"SHL","S66","11x#12T+COPPER TAPE                     "
"SHL","S67","12x#16AWG                               "
"SHL","S68","17x#16AWG                               "
"SHL","S69","06x#12AWG                               "
"SHL","S70","24x#14                                  "
"SHL","S71","47x#09AWG                               "
"SHL","S72","16x#16                                  "
"CLS","ZFO","Fiber Optic Cables                      "
"CLS","ZTE","Copper Telephone Cables                 "
"CLS","ZDA","Data Cables                             "
"CLS","ZZZ","Telecom Division                        "
"SHL","S73","12x#12                                  "
"SHL","S74","14x#16                                  "
"SHL","S75","38x#09                                  "
"CLS","YYY","Power Division                          "
"SHL","S76","22x#12                                  "
"SHL","S77","11x#16AWG                               "
"SHL","S78","19x#14                                  "
"SHL","S79","22x#10AWG                               "
"SHL","S80","26x#09                                  "
"CLS","FLX","Flexible Single Insulated SI            "
"INS","XXX","Temporary Insulation                    "
"CLS","UDA","UD CU/AL XLPE CN AEIC CS7-93            "
"INS","I17","650 mils                                "
"SHL","S81","27x#12                                  "
"CLS","MVE","MV90 ALUMINUM CONDUCTOR EPR INSULATION  "
"INS","I00","NO INS                                  "
"SHL","S82","10x#16                                  "
"SHL","S83","03x#14AWG                               "
"SHL","S84","05x#14AWG                               "
"CLS","ZCU","CU                                      "
"CLS","ZAL","AL                                      "
"SHL","S85","51x#09AWG                               "
"SHL","S86","39x#10AWG                               "
"INS","I18","355 mils - 69kV 6v/mm                   "
"SHL","S87","53x#16AWG                               "
"CLS","ACS","ACSR-Aluminum Conductor Steel Reinforced"
"SHL","S88","05x16 AWG                               "
"INS","I19","335 mils - 69kv for 1250                "
"SHL","S89","08x#16                                  "
"SHL","S90","13x#16                                  "
"CLS","P22","PE22                                    "
"CLS","P38","PE38                                    "
"CLS","P39","PE39                                    "
"CLS","P89","PE89                                    "
"INS","T01","Solid                                   "
"INS","T02","Jelly Filled                            "
"SHL","S91","04x#14AWG                               "
"SHL","S92","30x#16AWG                               "
"CLS","CE3","MV105 CU EPR CTS PVC UL1072 25-35kV     "
"CLS","UA3","UD ALUMINUM TRXLP/EPR LLDPE 35-46kV     "
"SHL","S93","15x#8                                   "
"CLS","ALF","ALPETH - Fully Filled Foam Skin         "
"CLS","ALA","ALPETH - Air Core PE Insulated          "
"SHL","S94","07#12                                   "
"SHL","S95","35x#10AWG                               "
"SHL","S96","31X#12AWG                               "
"SHL","S97","14x#12AWG                               "
"CLS","P84","PE84 (PE89SS)                           "
"SHL","S98","28x#10AWG                               "
"CLS","ZZY","Telecom Bezeq Stock cables              "
"SHL","S99","31x# 9AWG                               "
"SHL","SA1","29x#14                                  "
"SHL","SA2","17x#18                                  "
"SHL","SA3","27x#16                                  "
"CLS","EHV","Extra High Voltage                      "
"SHL","SA4","36x#12                                  "
"SHL","SA5","25x#16                                  "
"SHL","SA6","40x#16                                  "
"SHL","SA7","28x#14                                  "
"CLS","CE4","MV105 CU EPR CTS PVC UL1072 420MIL      "
"CLS","UC3","UD COPPER EPR/TRXLP CN PE/PV CS8 35-46kV"
"SHL","SA8","FSCN                                    "
"SHL","SA9","51x#12                                  "
"SHL","SA0","Copper Tape+Copper Wires Shield         "
"SHL","SB1","22x#16                                  "
"SHL","SB2","11x#24AWG                               "
