"@AT1LC11106    ","L.C. 1*6 AWG XLPE(110MILS) 5KV","6 AWG XLPE(110MILS) 5KV L-824C","F08",5.000      ,1     ,"XLP",13.30    ,"6 AWG     ","I12","SH6","   ","FAA","NOS","AWG","S44","CU ","PRS",.053     ,.117     ,.39        ,"FAA","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA5"
"F1AE1367       ","UD ALE 2   15 KV 31 PEIN      ","UD #2 AL, 220EPR,  10#14,LLDPE","F09",15.000     ,1     ,"EPR",33.00    ,"2 AWG     ","I04","SH4","T01","UAE","LDP","AWG","S01","AL ","PRS",.266     ,.586     ,1.10       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1376       ","UD ALE 2   15 KV 01 PEIN      ","UD #2 AL ,175EPR,  10#14,LLDPE","F09",15.000     ,1     ,"EPR",33.00    ,"2 AWG     ","I03","SH4","T01","UAE","LDP","AWG","S01","AL ","PRS",.237     ,.522     ,1.00       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE1378       ","UD ALE 1/0 15 KV 01 PEIN      ","UD 1/0 AL, 175 EPR,16#14,LLDPE","F09",15.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I03","SH4","T01","UAE","LDP","AWG","S04","AL ","PRS",.300     ,.661     ,1.09       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE13783      ","UD ALE 1/0 15 KV 03 PEIN      ","UD 1/0 AL, 175 EPR, 6#14,LLDPE","F09",15.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I03","SH4","T01","UAE","LDP","AWG","S05","AL ","PRS",.248     ,.547     ,1.07       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE13843      ","UD ALE 4/0  15 KV 03 PEIN     ","UD 4/0AL, 175EPR, 11#14, LLDPE","F09",15.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I03","SH4","T01","UAE","LDP","AWG","S12","AL ","PRS",.355     ,.783     ,1.22       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE1390       ","UD ALE 500 15 KV 03 PEIN      ","UD 500 AL, 175 EPR,25#14,LLDPE","F09",15.000     ,1     ,"EPR",253.00   ,"500 MCM   ","I03","SH4","T01","UAE","LDP","AWG","S49","AL ","PRS",.663     ,1.462    ,1.60       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE1392       ","UD ALE 750 15 KV 03 PEIN      ","UD 750AL, 175EPR,  24#12,LLDPE","F09",15.000     ,1     ,"EPR",380.00   ,"750 MCM   ","I03","SH4","T01","UAE","LDP","AWG","S18","AL ","PRS",.913     ,2.013    ,1.83       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE1394       ","UD ALE 1000 15 KV 03 PEIN     ","UD 1000AL,175 EPR, 20#10,LLDPE","F09",15.000     ,1     ,"EPR",507.00   ,"1000 MCM  ","I03","SH4","T01","UAE","LDP","AWG","S39","AL ","PRS",1.158    ,2.553    ,2.04       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","022","YES","NA3"
"F1AE1397       ","UD ALE 1/0 15 KV 31 PEIN      ","UD 1/0AL, 220EPR,  16#14,LLDPE","F09",15.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S04","AL ","PRS",.335     ,.739     ,1.18       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE13974      ","UD ALE 1/0 15 KV 33 PEIN      ","UD 1/0AL, 220EPR,   6#14,LLDPE","F09",15.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S05","AL ","PRS",.283     ,.624     ,1.18       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1399       ","UD ALE 2/0 15 KV 31 PEIN      ","UD 2/0AL, 220EPR,  20#14,LLDPE","F09",15.000     ,1     ,"EPR",67.00    ,"2/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S34","AL ","PRS",.378     ,.833     ,1.23       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE13994      ","UD ALE 2/0 15 KV 33 PEIN      ","UD 2/0AL, 220EPR,   7#14,LLDPE","F09",15.000     ,1     ,"EPR",67.00    ,"2/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S11","AL ","PRS",.310     ,.683     ,1.23       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1401       ","UD ALE 3/0 15 KV 31 PEIN      ","UD 3/0 AL, 220 EPR,16#12,LLDPE","F09",15.000     ,1     ,"EPR",85.00    ,"3/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S08","AL ","PRS",.446     ,.983     ,1.32       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1403       ","UD ALE 4/0 15 KV 31 PEIN      ","UD 4/0AL, 220EPR,  20#12,LLDPE","F09",15.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S33","AL ","PRS",.495     ,1.091    ,1.34       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
